Time	Flow, kg/s	DeltaP, Pa	P, Pa	Temp, K	Temp2, K

1741860696	2.509750	23.80	26.35	296.950	299.500

1741860697	1.000000	24.68	25.25	297.830	298.400

1741860698	1.000000	20.54	23.16	293.690	296.310

1741860699	1.000000	26.22	29.09	299.370	302.240

1741860700	1.836239	24.50	24.72	297.650	297.870

1741860701	2.120975	24.46	23.68	297.610	296.830

1741860702	2.006288	29.32	21.75	302.470	294.900

1741860703	1.709601	22.44	27.76	295.590	300.910

1741860704	1.655722	26.37	22.14	299.520	295.290

1741860705	1.000000	20.91	22.89	294.060	296.040

1741860706	1.502783	20.60	23.02	293.750	296.170

1741860707	0.601704	22.62	29.06	295.770	302.210

1741860708	1.000000	24.60	23.32	297.750	296.470

1741860709	1.000000	25.81	20.70	298.960	293.850

1741860710	2.409006	23.62	27.47	296.770	300.620

1741860711	1.428822	25.40	20.41	298.550	293.560

1741860712	2.202430	24.98	20.23	298.130	293.380

1741860713	1.000000	28.99	21.39	302.140	294.540

1741860714	1.000000	20.44	25.68	293.590	298.830

1741860715	1.000000	27.08	28.29	300.230	301.440

1741860716	0.759895	28.21	21.93	301.360	295.080

1741860717	1.930435	20.96	20.14	294.110	293.290

1741860718	1.328108	20.27	20.03	293.420	293.180

1741860719	1.000000	26.43	29.10	299.580	302.250

1741860720	1.523572	20.44	22.79	293.590	295.940

1741860721	2.102830	20.69	28.50	293.840	301.650

1741860722	1.000000	26.54	24.30	299.690	297.450

1741860723	1.171690	25.53	20.69	298.680	293.840

1741860724	1.938017	23.44	21.72	296.590	294.870

1741860725	1.000000	25.85	23.00	299.000	296.150

1741860726	2.043460	24.36	28.76	297.510	301.910

1741860727	1.000000	25.08	22.86	298.230	296.010

1741860728	1.000000	24.35	29.61	297.500	302.760

1741860729	1.348663	22.11	28.13	295.260	301.280

1741860730	1.000000	20.81	25.83	293.960	298.980

1741860731	1.699867	21.81	20.48	294.960	293.630

1741860733	1.000000	26.34	24.68	299.490	297.830

1741860734	1.000000	21.41	23.43	294.560	296.580

1741860735	2.313279	26.64	23.79	299.790	296.940

1741860736	1.000000	22.76	26.88	295.910	300.030

1741860737	1.000000	21.56	23.93	294.710	297.080

1741860738	1.000000	27.34	29.55	300.490	302.700

1741860739	2.149555	24.08	24.23	297.230	297.380

1741860740	1.140609	21.85	26.70	295.000	299.850

1741860741	2.200072	25.01	29.61	298.160	302.760

1741860742	1.000000	25.84	27.28	298.990	300.430

1741860743	1.703293	20.14	21.83	293.290	294.980

1741860744	1.000000	24.78	27.93	297.930	301.080

1741860745	1.000000	28.88	21.28	302.030	294.430

1741860746	2.244301	25.60	23.31	298.750	296.460

1741860747	2.348281	23.13	24.20	296.280	297.350

1741860748	1.000000	24.88	28.49	298.030	301.640

1741860749	1.860357	25.64	22.80	298.790	295.950

1741860750	2.289586	27.55	21.23	300.700	294.380

1741860751	1.000000	22.85	29.94	296.000	303.090

1741860752	1.000000	28.33	22.82	301.480	295.970

1741860753	1.964078	25.94	28.00	299.090	301.150

1741860754	2.328178	22.99	22.29	296.140	295.440

1741860755	0.743470	21.81	22.08	294.960	295.230

1741860756	0.288661	20.19	26.33	293.340	299.480

1741860757	2.720502	20.59	25.46	293.740	298.610

1741860758	1.000000	29.67	28.59	302.820	301.740

1741860759	0.834481	27.95	24.39	301.100	297.540

1741860760	1.000000	25.93	20.61	299.080	293.760

1741860761	0.579287	21.85	29.66	295.000	302.810

1741860762	1.053804	22.24	27.21	295.390	300.360

1741860763	1.603895	28.67	20.00	301.820	293.150

1741860764	1.472372	21.69	28.14	294.840	301.290

1741860765	1.000000	24.96	27.10	298.110	300.250

1741860766	1.000000	28.53	27.68	301.680	300.830

1741860767	1.000000	29.11	29.20	302.260	302.350

1741860768	1.000000	29.69	24.14	302.840	297.290

1741860769	1.344639	23.58	23.82	296.730	296.970

1741860770	0.976523	21.50	21.10	294.650	294.250

1741860771	1.000000	23.71	27.95	296.860	301.100

1741860772	0.640339	21.05	20.07	294.200	293.220

1741860773	1.586359	20.77	20.77	293.920	293.920

1741860774	1.000000	27.97	29.66	301.120	302.810

1741860775	1.360368	25.51	25.09	298.660	298.240

1741860776	1.000000	28.13	22.96	301.280	296.110

1741860777	1.000000	23.97	20.99	297.120	294.140

1741860778	1.000000	23.79	23.85	296.940	297.000

1741860779	2.473960	29.58	27.14	302.730	300.290

1741860780	1.944670	22.17	26.84	295.320	299.990

1741860781	2.371584	23.76	26.75	296.910	299.900

1741860782	1.000000	28.19	27.02	301.340	300.170

1741860783	1.000000	28.81	29.45	301.960	302.600

1741860785	1.144226	23.72	28.62	296.870	301.770

1741860786	1.261161	21.25	25.97	294.400	299.120

1741860787	1.000000	24.72	22.35	297.870	295.500

1741860788	1.862185	28.39	20.22	301.540	293.370

1741860789	1.000000	26.81	29.62	299.960	302.770

1741860790	1.401494	21.17	29.43	294.320	302.580

1741860791	1.000000	22.89	29.81	296.040	302.960

1741860792	1.770108	22.70	21.70	295.850	294.850

1741860793	1.000000	29.65	25.82	302.800	298.970

1741860794	2.356370	22.85	20.53	296.000	293.680

1741860795	2.529089	26.66	23.97	299.810	297.120

1741860796	2.217015	27.59	22.61	300.740	295.760

1741860797	1.000000	25.55	29.67	298.700	302.820

1741860798	1.000000	25.91	24.56	299.060	297.710

1741860799	2.431814	21.02	22.94	294.170	296.090

1741860800	1.000000	24.56	21.81	297.710	294.960

1741860801	1.000000	26.90	21.44	300.050	294.590

1741860802	1.000000	21.55	22.36	294.700	295.510

1741860803	1.117040	22.39	23.20	295.540	296.350

1741860804	1.285916	21.51	27.39	294.660	300.540

1741860805	0.637378	27.21	22.23	300.360	295.380

1741860806	1.000000	22.61	25.76	295.760	298.910

1741860807	1.000000	27.41	27.50	300.560	300.650

1741860808	1.000000	29.44	20.01	302.590	293.160

1741860809	0.838433	25.91	24.46	299.060	297.610

1741860810	1.000000	24.11	20.97	297.260	294.120

1741860811	1.000000	23.76	24.57	296.910	297.720

Time	Flow, kg/s	DeltaP, Pa	P, Pa	Temp, K	Temp2, K

1741861169	1.000000	21.66	27.63	294.810	300.780

1741861170	1.000000	21.08	23.77	294.230	296.920

1741861171	2.077408	23.58	20.24	296.730	293.390

1741861172	2.288840	29.05	26.91	302.200	300.060

1741861173	1.374992	27.11	25.27	300.260	298.420

1741861174	1.000000	26.82	28.71	299.970	301.860

1741861175	1.008071	21.50	29.58	294.650	302.730

1741861176	1.983341	29.47	21.27	302.620	294.420

1741861177	2.526483	22.34	25.38	295.490	298.530

1741861178	1.739507	22.39	24.61	295.540	297.760

1741861179	1.000000	24.02	25.95	297.170	299.100

1741861180	1.000000	28.90	28.75	302.050	301.900

1741861181	0.669390	25.16	26.34	298.310	299.490

1741861182	1.461820	22.45	25.49	295.600	298.640

1741861183	1.000000	24.21	27.59	297.360	300.740

1741861184	2.092805	25.87	28.55	299.020	301.700

1741861185	1.000000	22.11	23.67	295.260	296.820

1741861186	1.493910	29.28	29.08	302.430	302.230

1741861187	2.177234	29.11	23.20	302.260	296.350

1741861188	0.545842	29.38	20.95	302.530	294.100

1741861189	1.000000	26.35	29.60	299.500	302.750

1741861190	1.000000	27.39	28.47	300.540	301.620

1741861191	1.000000	29.89	21.17	303.040	294.320

1741861192	1.000000	22.48	27.99	295.630	301.140

1741861193	1.818912	27.87	27.51	301.020	300.660

1741861194	0.801117	21.17	21.71	294.320	294.860

1741861195	1.000000	23.99	29.07	297.140	302.220

1741861196	1.000000	20.74	27.04	293.890	300.190

1741861197	1.000000	27.99	26.95	301.140	300.100

1741861198	1.000000	26.25	29.59	299.400	302.740

1741861199	1.000000	20.54	23.97	293.690	297.120

1741861200	0.674567	26.36	26.85	299.510	300.000

1741861201	1.000000	24.82	23.61	297.970	296.760

1741861202	1.000000	28.14	21.78	301.290	294.930

1741861203	1.000000	27.46	28.72	300.610	301.870

1741861204	1.000000	28.45	21.55	301.600	294.700

1741861205	1.000000	26.39	21.99	299.540	295.140

1741861206	1.000000	28.58	25.63	301.730	298.780

1741861207	1.000000	29.49	28.47	302.640	301.620

1741861208	1.812576	25.79	20.69	298.940	293.840

1741861209	1.000000	26.90	20.57	300.050	293.720

1741861210	1.303227	21.58	26.31	294.730	299.460

1741861211	1.000235	29.58	24.71	302.730	297.860

1741861212	1.000000	20.89	28.37	294.040	301.520

1741861213	1.052890	27.46	28.05	300.610	301.200

1741861214	1.000000	24.71	21.24	297.860	294.390

1741861215	1.754353	23.23	21.48	296.380	294.630

1741861217	0.683050	21.59	29.17	294.740	302.320

1741861218	1.000000	29.37	25.42	302.520	298.570

1741861219	1.935967	22.06	27.39	295.210	300.540

1741861220	1.949721	26.63	27.30	299.780	300.450

1741861221	1.000000	27.89	22.29	301.040	295.440

1741861222	1.000000	26.37	26.75	299.520	299.900

1741861223	1.000000	24.34	29.43	297.490	302.580

